"FundCode","FundName","ProductName","ClassName","Vintage","Manager","OneWeek","OneMonth","ThreeMonth","SixMonth","NineMonth","OneYear","TwoYear","ThreeYear","FiveYear","YTD","NetAssets","FundAssets","InceptionDate","MajorType","MinorType","BM","Flow1YAssetsCurrent","Flow1YAssetsCompare","Flow1YAssetsChange","Flow1YCashFlow","Flow1YShareCurrent","Flow1YShareCompare","Flow1YShareChange","Flow3YAssetsCurrent","Flow3YAssetsCompare","Flow3YAssetsChange","Flow3YCashFlow","Flow3YShareCurrent","Flow3YShareCompare","Flow3YShareChange","Risk1YMeanReturn","Risk1YStdDev","Risk1YAlpha","Risk1YBeta","Risk1YRSquare","Risk1YSharpe","Risk1YTreynor","Risk1YResidualRisk","Risk1YIR","Risk1YDownsideDev","Risk1YUpsideDev","Risk1YRiskNetAssets","Risk1YModifiedSharpe","Risk3YMeanReturn","Risk3YStdDev","Risk3YAlpha","Risk3YBeta","Risk3YRSquare","Risk3YSharpe","Risk3YTreynor","Risk3YResidualRisk","Risk3YIR","Risk3YDownsideDev","Risk3YUpsideDev","Risk3YRiskNetAssets","Risk3YModifiedSharpe","AllocationEquity","AllocationBond","AllocationFuturesLong","AllocationFuturesShort","AllocationOptionsLong","AllocationOptionsShort","AllocationFundSecurities","AllocationLiquidity","AllocationNetAssets","AllocationFundAssets","AllocationETF","AllocationEquityPct","AllocationBondPct","AllocationFuturesLongPct","AllocationFuturesShortPct","AllocationFundSecuritiesPct","AllocationLiquidityPct","AllocationETFPct"
"K55234DF3101","IBK로우코스트적격TDF2050자[주혼-재간접]종류S","IBK로우코스트적격TDF2050자[주혼-재간접]","종류S","2050","아이비케이운용","1.54","6.4","9.45","12.1","22.01","29.99","42.83","69.27","","12.87","","","2022-07-18","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.48","7.05","11.52","0.98","0.44","3.19","22.84","5.26","2.15","4.74","6","0","3.19","0.33","8.25","6.6","0.96","0.45","1.7","14.63","6.15","1.02","6.51","6.01","0","1.7","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"K55234DF3119","IBK로우코스트적격TDF2050자[주혼-재간접]종류S-P","IBK로우코스트적격TDF2050자[주혼-재간접]","종류S-P","2050","아이비케이운용","1.53","6.36","9.37","11.92","21.72","29.6","42.32","68.49","","12.72","0.12","0.08","2022-03-11","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","0.12","0.01","0.11","0.08","0","0","0","0.12","0","0.12","0.09","0","0","0","0.48","7.06","11.26","0.98","0.44","3.15","22.56","5.27","2.1","4.78","5.97","0.12","3.15","0.33","8.26","6.39","0.97","0.45","1.68","14.37","6.13","1","6.54","5.96","0.12","1.68","0","0","0","0","0","0","0.12","0","0.12","0.08","0","0","0","0","0","100","0","0"
"K55234DF3143","IBK로우코스트적격TDF2050자[주혼-재간접]종류C-R","IBK로우코스트적격TDF2050자[주혼-재간접]","종류C-R","2050","아이비케이운용","1.52","6.35","9.3","11.78","21.5","29.28","41.55","66.94","73.56","12.6","2.07","1.21","2021-04-02","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","2.07","0.56","1.51","1.11","0","0","0","2.07","0.19","1.88","1.39","0","0","0","0.47","7.06","11.01","0.98","0.44","3.11","22.31","5.27","2.06","4.81","5.94","2.05","3.11","0.32","8.27","6.08","0.97","0.45","1.64","14.05","6.13","0.95","6.58","5.92","2.05","1.64","0","0","0","0","0","0","2.01","0.06","2.07","1.21","0","0","0","0","0","97.101449","2.898551","0"
"K55234DF3150","IBK로우코스트적격TDF2050자[주혼-재간접]종류C-Re","IBK로우코스트적격TDF2050자[주혼-재간접]","종류C-Re","2050","아이비케이운용","1.53","6.36","9.34","11.86","21.63","29.47","41.95","67.65","74.32","12.67","111.76","66.09","2021-04-07","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","111.76","46.68","65.07","45.32","0.03","0.03","0.01","111.76","7.62","104.13","80.52","0.03","0.01","0.03","0.48","7.06","9.69","1.13","0.67","3.13","19.62","4.11","2.7","3.93","4.64","111.17","3.13","0.33","8.26","4.46","1.21","0.76","1.66","11.33","4.25","1.43","4.04","4.55","111.17","1.66","0","0","0","0","0","0","108.44","3.13","111.76","66.09","0","0","0","0","0","97.029349","2.800644","0"
"K55234DF3184","IBK로우코스트적격TDF2050자[주혼-재간접]종류S-R","IBK로우코스트적격TDF2050자[주혼-재간접]","종류S-R","2050","아이비케이운용","1.53","6.36","9.37","11.92","21.73","29.61","42.27","68.24","","12.72","0.26","0.16","2022-03-14","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","0.26","0.12","0.14","0.09","0","0","0","0.26","0.02","0.24","0.18","0","0","0","0.48","7.06","11.26","0.98","0.44","3.15","22.57","5.27","2.1","4.78","5.97","0.26","3.15","0.33","8.26","6.34","0.97","0.45","1.67","14.32","6.13","0.99","6.55","5.95","0.26","1.67","0","0","0","0","0","0","0.26","0.01","0.26","0.16","0","0","0","0","0","100","3.846154","0"
"K55234DF3242","IBK로우코스트적격TDF2055자[주혼-재간접]종류Cf","IBK로우코스트적격TDF2055자[주혼-재간접]","종류Cf","2055","아이비케이운용","1.62","6.74","9.99","12.67","23.04","31.36","44.74","72.73","81.54","13.49","3.76","2.12","2021-03-29","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","3.76","2.86","0.9","0","0","0","0","3.76","2.17","1.58","-0.03","0","0","0","0.5","7.36","12.08","1.03","0.44","3.19","22.91","5.5","2.25","4.86","6.35","3.72","3.19","0.34","8.63","6.88","1.01","0.45","1.7","14.59","6.41","1.08","6.84","6.25","3.72","1.7","0","0","0","0","0","0","3.64","0.11","3.76","2.12","0","0","0","0","0","96.808511","2.925532","0"
"K55234DF3267","IBK로우코스트적격TDF2055자[주혼-재간접]종류S","IBK로우코스트적격TDF2055자[주혼-재간접]","종류S","2055","아이비케이운용","1.62","6.73","9.98","12.64","22.99","31.29","44.59","72.59","","13.47","0.99","0.6","2022-04-13","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","0.99","0.72","0.28","0.04","0","0","0","0.99","0","0.99","0.59","0","0","0","0.5","7.36","12.03","1.03","0.44","3.18","22.86","5.5","2.24","4.86","6.34","0.98","3.18","0.34","8.63","6.86","1.01","0.45","1.7","14.57","6.41","1.08","6.85","6.24","0.98","1.7","0","0","0","0","0","0","0.96","0.03","0.99","0.6","0","0","0","0","0","96.969697","3.030303","0"
"K55234DF3275","IBK로우코스트적격TDF2055자[주혼-재간접]종류S-P","IBK로우코스트적격TDF2055자[주혼-재간접]","종류S-P","2055","아이비케이운용","1.62","6.73","9.98","12.64","23","31.3","44.62","72.54","","13.48","1.54","0.93","2022-03-11","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","1.54","1.27","0.27","-0.13","0","0","0","1.54","0.08","1.46","0.85","0","0","0","0.5","7.36","12.04","1.03","0.44","3.19","22.88","5.5","2.24","4.86","6.35","1.52","3.19","0.34","8.63","6.85","1.01","0.45","1.7","14.56","6.41","1.08","6.85","6.24","1.52","1.7","0","0","0","0","0","0","1.49","0.05","1.54","0.93","0","0","0","0","0","96.753247","3.246753","0"
"K55234DF3291","IBK로우코스트적격TDF2055자[주혼-재간접]종류C-Pe","IBK로우코스트적격TDF2055자[주혼-재간접]","종류C-Pe","2055","아이비케이운용","1.62","6.72","9.94","12.57","22.89","31.13","44.25","","","13.41","0.89","0.63","2024-03-25","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","0.89","0.39","0.51","0.34","0","0","0","0.89","0","0.89","0.71","0","0","0","0.5","7.36","11.91","1.03","0.44","3.17","22.75","5.51","2.21","4.87","6.33","0.91","3.17","","","","","","","","","","","","","","0","0","0","0","0","0","0.86","0.03","0.89","0.63","0","0","0","0","0","96.629213","3.370787","0"
"K55234DF3309","IBK로우코스트적격TDF2055자[주혼-재간접]종류C-R","IBK로우코스트적격TDF2055자[주혼-재간접]","종류C-R","2055","아이비케이운용","1.62","6.71","9.91","12.51","22.78","30.99","44.01","71.67","80.61","13.36","4.17","2.36","2021-04-02","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","4.17","1.31","2.86","2.18","0","0","0","4.17","0","4.16","3.47","0","0","0","0.5","7.36","11.8","1.03","0.44","3.15","22.64","5.51","2.19","4.89","6.32","4.12","3.15","0.34","8.63","6.68","1.01","0.45","1.68","14.39","6.41","1.05","6.87","6.23","4.12","1.68","0","0","0","0","0","0","4.03","0.13","4.17","2.36","0","0","0","0","0","96.642686","3.117506","0"
