Issue code,Issue name,Close,Change,%Change,Open,High,Low,Trading volume,Trading value,Market cap.,No.of listed shares
24090,DCM,11210,-120,-1.06,11440,11440,11200,2838,31874400,1.27794E+11,11400000
145720,DENTIUM,46700,-700,-1.48,47450,47900,46350,29838,1392631625,4.02736E+11,8623891
300,DHAUTONEX,4200,0,0,0,0,0,0,0,1.74036E+11,41437055
3160,DI,27850,-750,-2.62,29100,29100,26500,297272,8141707825,7.88155E+11,28300000
1530,DI DONGIL,24700,-100,-0.4,24350,25250,24200,136833,3365201875,5.11676E+11,20715621
92200,DIC,8480,280,3.41,8750,9500,8400,2636329,23460925330,3.29775E+11,38888569
4890,DIC,37650,-200,-0.53,37850,38200,37450,1977,74956200,91309344750,2425215
15590,DKME,2425,80,3.41,2340,2540,2275,759704,1827218211,1.29486E+11,53396308
210,DL,54300,-500,-0.91,55900,56100,50900,146736,7725002650,1.1379E+12,20955884
375500,DL E&C,76500,0,0,79000,79400,73000,865062,65043269600,2.96006E+12,38693623
37550K,DL E&C(1P),25050,150,0.6,24950,25650,24000,16480,405458350,52952819250,2113885
37550L,DL E&C(2PC),46200,-800,-1.7,47200,47200,45200,10501,478971500,97572136200,2111951
215,DL(1P),23850,-300,-1.24,24150,24250,23200,6687,157725900,40213842750,1686115
7340,DN AUTOMOTIVE,44650,650,1.48,44700,45100,42350,265062,11680983700,2.61251E+12,58510865
2150,DOHWA ENGINEERING,5660,-70,-1.22,5770,5800,5600,78910,446359990,1.90855E+11,33720000
2690,DONG IL STEEL,1468,-14,-0.94,1500,1530,1465,45360,67616194,29800928480,20300360
111380,DONG IN ENTECH,13390,-160,-1.18,13590,13590,13140,11034,145700190,82053920000,6128000
460850,DONGKUK CM,5650,-180,-3.09,5780,5830,5600,118249,669374950,1.68927E+11,29898656
1230,DONGKUK HOLDINGS,2050,-495,-19.45,2545,2545,1972,5264709,11173544188,3.18791E+11,155507715
